teamID,yearID,R,AB,H,2B,3B,HR,BB,HBP,SF,SH,SB,CS
BAL,1984,681,5456,1374,234,23,160,620,22,43,45,51,36
BAL,1985,818,5517,1451,234,22,214,604,19,40,31,69,43
BAL,1986,708,5524,1425,223,13,169,563,31,51,33,64,34
BAL,1987,729,5576,1437,219,20,211,524,22,32,31,69,45
BAL,1988,550,5358,1275,199,20,137,504,32,45,40,69,44
BAL,1989,708,5440,1369,238,33,129,593,30,47,63,118,55
BAL,1990,669,5410,1328,234,22,132,660,40,41,72,94,52
BAL,1991,686,5604,1421,256,29,170,528,33,45,47,50,33
BAL,1992,705,5485,1423,243,36,148,647,51,59,50,89,48
BAL,1993,786,5508,1470,287,24,157,655,41,56,49,73,54
BAL,1995,704,4837,1267,229,27,173,574,39,41,40,92,45
BAL,1996,949,5689,1557,299,29,257,645,61,67,31,76,40
BAL,1997,812,5584,1498,264,22,196,586,65,59,46,63,26
BAL,1998,817,5565,1520,303,11,214,593,58,44,44,86,48
BAL,1999,851,5637,1572,299,21,203,615,61,55,41,107,46
BAL,2000,794,5549,1508,310,22,184,558,49,54,27,126,65
BAL,2001,687,5472,1359,262,24,136,514,77,49,38,133,53
BAL,2002,667,5491,1353,311,27,165,452,64,49,40,110,48
BAL,2003,743,5665,1516,277,24,152,431,54,40,51,89,36
BAL,2004,842,5736,1614,319,18,169,528,57,62,46,101,41
BAL,2005,729,5551,1492,296,27,189,447,54,42,40,83,37
BAL,2006,768,5610,1556,288,20,164,474,73,41,40,121,32
BAL,2007,756,5631,1529,306,30,142,500,47,47,38,144,42
BAL,2008,782,5559,1486,322,30,172,533,42,48,27,81,37
BAL,2009,741,5618,1508,307,19,160,517,39,46,13,76,37
BAL,2010,613,5554,1440,264,21,133,424,54,45,31,76,34
BAL,2011,708,5585,1434,273,13,191,452,52,43,24,81,25
BOS,1954,700,5399,1436,244,41,123,654,23,53,78,51,30
BOS,1955,755,5273,1392,241,39,137,707,29,53,69,43,17
BOS,1956,780,5349,1473,261,45,139,727,25,46,68,28,19
BOS,1957,721,5267,1380,231,32,153,622,25,38,41,29,21
BOS,1958,697,5218,1335,229,30,155,638,27,29,60,29,22
BOS,1959,726,5225,1335,248,28,125,626,23,46,65,68,25
BOS,1960,658,5215,1359,234,32,124,570,25,51,70,34,28
BOS,1961,729,5508,1401,251,37,112,647,29,42,81,56,36
BOS,1962,707,5530,1429,257,53,146,525,27,36,59,39,33
BOS,1963,666,5575,1403,247,34,171,475,26,25,44,27,16
BOS,1964,688,5513,1425,253,29,186,504,28,26,35,18,16
BOS,1965,669,5487,1378,244,40,165,607,30,39,57,47,24
BOS,1966,655,5498,1318,228,44,145,542,32,38,65,35,24
BOS,1967,722,5471,1394,216,39,158,522,31,40,85,68,59
BOS,1968,614,5303,1253,207,17,125,582,33,41,77,76,62
BOS,1969,743,5494,1381,234,37,197,658,32,43,67,41,47
BOS,1970,786,5535,1450,252,28,203,594,40,47,34,50,48
BOS,1971,691,5401,1360,246,28,161,552,32,47,75,51,34
BOS,1972,640,5208,1289,229,34,124,522,37,48,56,66,30
BOS,1973,738,5513,1472,235,30,147,581,31,44,54,114,45
BOS,1974,696,5499,1449,236,31,109,569,33,49,64,104,58
BOS,1975,796,5448,1500,284,44,134,565,34,53,75,66,58
BOS,1976,716,5511,1448,257,53,134,500,29,59,55,95,70
BOS,1977,859,5510,1551,258,56,213,528,42,59,45,66,47
BOS,1978,796,5587,1493,270,46,172,582,24,58,65,74,51
BOS,1979,841,5538,1567,310,34,194,512,33,59,42,60,43
BOS,1980,757,5603,1588,297,36,162,475,32,50,40,79,48
BOS,1982,753,5596,1536,271,31,136,547,28,38,53,42,39
BOS,1983,724,5590,1512,287,32,142,536,28,48,49,30,26
BOS,1984,810,5648,1598,259,45,181,500,20,46,36,38,25
BOS,1985,800,5720,1615,292,31,162,562,30,57,50,66,27
BOS,1986,794,5498,1488,320,21,144,595,66,52,44,41,34
BOS,1987,842,5586,1554,273,26,174,606,57,58,52,77,45
BOS,1988,813,5545,1569,310,39,124,623,45,55,66,65,36
BOS,1989,774,5666,1571,326,30,108,643,36,58,52,56,35
BOS,1990,699,5516,1502,298,31,106,598,28,44,48,53,52
BOS,1991,731,5530,1486,305,25,126,593,32,51,50,59,39
BOS,1992,599,5461,1343,259,21,84,591,31,43,60,44,48
BOS,1993,686,5496,1451,319,29,114,508,62,49,80,73,38
BOS,1995,791,4997,1399,286,31,175,560,65,49,45,99,44
